Section,Lon,Lat,NZE,NZN
North Island,174.06,-39.575,2601109.291,6180812.856
North Island,174.002,-39.554,2596153.76,6183203.802
North Island,173.946,-39.532,2591368.292,6185700.712
North Island,173.88901,-39.493,2586514.24,6190082.803
North Island,173.842,-39.45,2582517.963,6194897.504
North Island,173.8,-39.414,2578940.812,6198929.031
North Island,173.76801,-39.335,2576265.872,6207724.818
North Island,173.769,-39.256,2576431.386,6216494.204
North Island,173.79401,-39.194,2578654.959,6223356.957
North Island,173.84399,-39.156,2583014.7,6227533.373
North Island,173.908,-39.119,2588591.153,6231583.306
North Island,173.98399,-39.096,2595191.836,6234063.128
North Island,174.045,-39.058,2600520.898,6238218.318
North Island,174.133,-39.024,2608186.761,6241895.164
North Island,174.201,-38.993,2614122.615,6245255.839
North Island,174.293,-38.986,2622103.262,6245917.17
North Island,174.39,-38.99,2630498.769,6245342.55
North Island,174.452,-38.945,2635952.853,6250248.693
North Island,174.504,-38.903,2640540.648,6254833.089
North Island,174.567,-38.846,2646118.271,6261062.246
North Island,174.599,-38.777,2649036.529,6268669.092
North Island,174.616,-38.712,2650647.61,6275855.217
North Island,174.623,-38.627,2651432.661,6285276.743
North Island,174.634,-38.547,2652557.458,6294136.651
North Island,174.632,-38.481,2652521.026,6301464.122
North Island,174.63499,-38.407,2652936.792,6309671.101
North Island,174.666,-38.364,2655736.273,6314391.229
North Island,174.705,-38.311,2659259.288,6320206.295
North Island,174.70799,-38.261,2659629.958,6325749.493
North Island,174.707,-38.203,2659670.045,6332187.236
North Island,174.689,-38.149,2658210.739,6338210.295
North Island,174.711,-38.125,2660191.17,6340835.62
North Island,174.763,-38.106,2664792.161,6342852.613
North Island,174.791,-38.129,2667194.549,6340250.251
North Island,174.83299,-38.141,2670846.919,6338842.021
North Island,174.821,-38.131,2669819.407,6339973.697
North Island,174.85699,-38.123,2672992.749,6340794.706
North Island,174.868,-38.103,2674005.441,6342993.238
North Island,174.87399,-38.081,2674583.17,6345423.036
North Island,174.855,-38.061,2672964.934,6347677.882
North Island,174.812,-38.077,2669155.483,6345982.055
North Island,174.778,-38.056,2666220.971,6348373.877
North Island,174.82899,-38.024,2670769.428,6351831.702
North Island,174.871,-37.991,2674535.566,6355414.875
North Island,174.879,-37.958,2675317.121,6359061.316
North Island,174.819,-37.983,2669987.79,6356399.438
North Island,174.79401,-38.012,2667726.534,6353227.249
North Island,174.77901,-37.94,2666573.5,6361243.516
North Island,174.769,-37.85,2665897.676,6371247.923
North Island,174.843,-37.816,2672488.582,6374884.917
North Island,174.87199,-37.81,2675054.724,6375496.102
North Island,174.93401,-37.803,2680531.56,6376153.385
North Island,174.97,-37.794,2683722.552,6377080.989
North Island,174.946,-37.782,2681639.158,6378459.885
North Island,174.93201,-37.758,2680466.247,6381150.176
North Island,174.888,-37.792,2676507.441,6377462.817
North Island,174.828,-37.782,2671247.67,6378685.366
North Island,174.817,-37.714,2670437.017,6386250.783
North Island,174.799,-37.651,2668995.526,6393274.166
North Island,174.771,-37.594,2666654.774,6399649.678
North Island,174.746,-37.519,2664615.711,6408016.419
North Island,174.707,-37.443,2661335.872,6416518.253
North Island,174.731,-37.387,2663583.93,6422689.515
North Island,174.703,-37.361,2661161.925,6425623.826
North Island,174.66701,-37.313,2658077.629,6431012.305
North Island,174.63901,-37.263,2655702.082,6436608.072
North Island,174.61099,-37.216,2653315.206,6441870.333
North Island,174.575,-37.145,2650266.64,6449808.079
North Island,174.541,-37.071,2647395.068,6458074.43
North Island,174.57899,-37.049,2650818.162,6460453.714
North Island,174.65601,-37.049,2657668.325,6460324.118
North Island,174.659,-37.093,2657839.755,6455436.857
North Island,174.66701,-37.139,2658452.545,6450319.013
North Island,174.69701,-37.18,2661027.678,6445717.586
North Island,174.71201,-37.225,2662260.06,6440698.151
North Island,174.72099,-37.218,2663072.384,6441458.951
North Island,174.713,-37.176,2662456.162,6446133.26
North Island,174.73801,-37.176,2664676.737,6446088.741
North Island,174.79201,-37.173,2669478.109,6446323.464
North Island,174.737,-37.161,2664620.634,6447754.878
North Island,174.70799,-37.139,2662092.887,6450247.483
North Island,174.765,-37.107,2667229.826,6453695.863
North Island,174.784,-37.132,2668860.952,6450887.287
North Island,174.799,-37.106,2670253.624,6453744.399
North Island,174.856,-37.065,2675416.609,6458186.285
North Island,174.879,-37.088,2677406.288,6455590.329
North Island,174.92799,-37.075,2681792.865,6456937.072
